timestamp,date,hour,temp_f,feels_like_f,humidity_pct,precipitation_in,precip_probability_pct,weather_code,weather_description,wind_speed_mph,wind_gust_mph,uv_index,temp_high_f,temp_low_f,is_thunderstorm
2026-03-04 03:18:25,2026-03-03,22,66.0,67.4,85,0.0,0,3,Overcast,6.0,13.4,0.0,74.8,59.9,False
2026-03-04 05:03:17,2026-03-04,0,62.4,62.9,88,0.0,0,0,Clear sky,5.8,12.5,0.0,84.7,61.3,False
2026-03-04 11:21:25,2026-03-04,6,62.0,63.5,97,0.0,0,45,Fog,5.5,11.9,0.0,84.0,61.3,False
2026-03-04 12:28:54,2026-03-04,7,60.1,61.0,94,0.0,0,0,Clear sky,4.4,10.3,0.0,84.6,60.1,False
2026-03-04 13:47:43,2026-03-04,8,64.0,65.2,90,0.0,4,45,Fog,6.4,13.9,0.5,84.4,61.2,False
2026-03-04 15:28:22,2026-03-04,10,69.6,71.4,78,0.0,0,0,Clear sky,6.2,16.1,3.65,84.2,61.2,False
2026-03-04 16:29:08,2026-03-04,11,74.8,80.2,81,0.0,0,0,Clear sky,6.7,13.6,5.3,84.4,61.2,False
2026-03-04 17:29:46,2026-03-04,12,78.2,82.3,65,0.0,0,1,Mainly clear,7.0,12.3,5.25,84.5,61.2,False
2026-03-04 18:31:19,2026-03-04,13,80.6,83.4,61,0.0,0,1,Mainly clear,7.9,10.7,4.05,84.9,61.2,False
2026-03-04 19:30:12,2026-03-04,14,82.4,83.0,50,0.0,0,0,Clear sky,8.5,11.6,2.0,84.3,61.2,False
2026-03-04 20:21:04,2026-03-04,15,84.3,86.3,51,0.0,0,1,Mainly clear,10.4,13.6,3.25,84.3,61.2,False
2026-03-04 21:23:12,2026-03-04,16,83.8,83.8,49,0.0,0,0,Clear sky,10.6,13.6,1.6,84.2,61.2,False
2026-03-04 22:19:31,2026-03-04,17,81.4,80.9,53,0.0,0,1,Mainly clear,11.9,16.8,0.75,86.0,61.2,False
2026-03-04 23:18:57,2026-03-04,18,78.7,78.5,58,0.0,0,1,Mainly clear,11.2,18.8,0.75,86.0,61.2,False
2026-03-05 01:01:58,2026-03-04,20,72.3,73.8,74,0.0,0,0,Clear sky,8.1,19.5,0.0,86.0,61.2,False
2026-03-05 04:01:04,2026-03-04,23,68.2,71.3,84,0.0,0,0,Clear sky,3.8,8.7,0.0,86.0,61.2,False
2026-03-05 11:24:53,2026-03-05,6,63.4,65.6,92,0.0,0,1,Mainly clear,4.0,9.6,0.0,84.3,63.2,False
2026-03-05 12:32:10,2026-03-05,7,63.3,65.3,93,0.0,0,0,Clear sky,4.5,11.2,0.0,85.8,63.3,False
2026-03-05 13:53:23,2026-03-05,8,69.7,70.7,76,0.0,0,0,Clear sky,7.5,21.0,0.5,85.2,63.3,False
2026-03-05 14:37:00,2026-03-05,9,74.6,77.9,80,0.0,0,0,Clear sky,8.6,17.4,1.95,82.2,63.3,False
2026-03-05 15:39:05,2026-03-05,10,78.0,80.4,67,0.0,0,1,Mainly clear,8.6,13.2,3.75,83.8,63.3,False
2026-03-05 17:51:46,2026-03-05,12,82.2,86.3,61,0.0,0,1,Mainly clear,7.4,9.2,6.6,85.1,63.3,False
2026-03-05 19:05:00,2026-03-05,14,83.6,87.4,54,0.0,9,3,Overcast,4.1,5.4,3.95,83.8,63.3,False
2026-03-05 20:26:30,2026-03-05,15,82.9,85.5,53,0.0,12,3,Overcast,6.1,7.6,1.15,86.5,63.3,False
2026-03-05 21:22:55,2026-03-05,16,70.6,75.1,95,0.972,16,81,Moderate rain showers,7.3,7.8,1.0,88.7,63.3,False
